observations,centile,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
20,0.95,20,1464.3367071254047,4228.925480510954,1080.3817956628081,199.5014242553876,532.3845671415004,3243.6272103054766,158.27288259127877,2331.5321194853764,7748.151700698467,1889.1443534919715
21,0.05,21,1057.5995109402372,3167.738757571288,774.2260720899679,135.15851846904818,332.04693472320406,2316.8578680178593,93.13243993845138,1661.7478839888709,5723.186018658825,1317.7564830344957
21,0.25,21,1181.2285943380898,3489.8474300311404,868.186407741299,154.72218955071497,390.5817307133926,2623.2500527322572,113.45289148036241,1878.95320619217,6359.083657472225,1515.442854042807
21,0.5,21,1255.559235026572,3687.380733540403,924.283166117559,166.50965580959144,426.0644214083194,2797.384036697982,124.82823858242831,2004.9168988867448,6739.23957189023,1623.4771886729402
21,0.75,21,1329.5062742514713,3881.089606842755,978.8285092948526,178.18821269313221,461.9535125491235,2959.2921314573964,136.2631614377269,2125.214733262462,7119.115935918765,1722.1808434271609
21,0.95,21,1455.3772117113826,4193.703383231239,1067.2734417554934,198.40555700395103,525.8511453466232,3212.301626117949,157.73386428644574,2320.574053496595,7754.828720487533,1878.2953717180453
22,0.05,22,1060.8808029330744,3183.1534034465963,780.7262279469145,135.59234359292154,335.0497179325535,2335.3557855279314,93.39542539235936,1666.875514375799,5716.284287885359,1322.595017348683
22,0.25,22,1184.220155317265,3503.8515529396145,873.684142252995,155.105075843577,393.02988599663587,2638.084365593163,113.64360749297683,1883.3463846201403,6354.428503393409,1519.5518668949983
22,0.5,22,1258.5957021561119,3701.2531147593313,929.5538701022051,166.88685113291893,428.4042878446777,2810.966666770153,125.00324198092072,2009.1361781219473,6735.405078943199,1627.3761305466742
22,0.75,22,1332.9796748206281,3896.1932724926955,984.4522283688043,178.60994986030204,464.5175612475189,2973.173089122275,136.45842929098922,2129.771086294313,7115.610326428833,1726.3577791966454
22,0.95,22,1460.4266901566764,4213.528365032936,1074.6001596855629,199.02423970458466,529.5121475449085,3229.951671899603,158.0303490873009,2326.7678050092745,7751.436801617527,1884.1710593527725
23,0.05,23,1240.3558362061406,3735.9592949832613,915.0203973423471,163.0671783486268,423.22976371862967,2624.43520082716,84.86168706324153,1884.5818107089988,6287.1123199624835,1375.3188572581087
23,0.25,23,1366.8488841774515,4078.85287289606,1008.0467453350901,182.40163265135905,482.7413420225425,2906.5011388126645,109.61130056394082,2087.7308535724333,6907.631818940201,1585.0404821618743
